[2022-03-06T09:59:39.310] [TRACE] app - 96402891-fb49-4d2a-8866-3dd4994c7a81 - TRACE - inbound request - list sensor group - check payload length - 4
[2022-03-06T09:59:39.397] [INFO] app - 96402891-fb49-4d2a-8866-3dd4994c7a81 - INFO - inbound request - list sensor group - Success retrieving  data - 4
[2022-03-06T09:59:53.128] [TRACE] app - d027bc93-5979-41fa-b009-378901d41072 - TRACE - inbound request - query for sensor group with 37 - Data is executing - 4
[2022-03-06T09:59:53.139] [TRACE] app - d027bc93-5979-41fa-b009-378901d41072 - TRACE - inbound request - list sensor group with ID - check payload length - 4
[2022-03-06T09:59:53.144] [INFO] app - d027bc93-5979-41fa-b009-378901d41072 - INFO - inbound request - list sensor group with ID - Success retrieving  data - 4
[2022-03-06T10:00:06.031] [TRACE] app - f43a1844-0d70-4079-921a-f36dfcc58631 - TRACE - inbound request - query for sensor group with 18 - Data is executing - 4
[2022-03-06T10:00:06.038] [TRACE] app - f43a1844-0d70-4079-921a-f36dfcc58631 - TRACE - inbound request - list sensor group with ID - check payload length - 4
[2022-03-06T10:00:06.040] [INFO] app - f43a1844-0d70-4079-921a-f36dfcc58631 - INFO - inbound request - list sensor group with ID - no data found - 4
[2022-03-06T10:00:14.432] [TRACE] app - d8014a62-2c93-4706-9fa5-cf2fc82ed5b8 - TRACE - inbound request - query for sensor group with 37 - Data is executing - 4
[2022-03-06T10:00:14.440] [TRACE] app - d8014a62-2c93-4706-9fa5-cf2fc82ed5b8 - TRACE - inbound request - list sensor group with ID - check payload length - 4
[2022-03-06T10:00:14.441] [INFO] app - d8014a62-2c93-4706-9fa5-cf2fc82ed5b8 - INFO - inbound request - list sensor group with ID - Success retrieving  data - 4
[2022-03-06T10:00:29.010] [TRACE] app - 225c7ae0-5ff1-45b1-a749-a8d54b131881 - TRACE - inbound request - query for group with 6bc7e9ed-0f1b-4102-888b-ecca191c15d3 - Data is executing - 4
[2022-03-06T10:00:29.011] [TRACE] app - 225c7ae0-5ff1-45b1-a749-a8d54b131881 - TRACE - inbound request - map sensor to group - check payload length - 4
[2022-03-06T10:00:29.056] [ERROR] app - 225c7ae0-5ff1-45b1-a749-a8d54b131881 - ERROR - inbound request - map sensor to group - Cannot read properties of undefined (reading 'id') - 4
[2022-03-06T10:01:03.151] [INFO] app - 59898317-e78b-4d7f-a4a0-4950db217d11 - INFO - inbound request - login - Logged in Successfully - 4
[2022-03-06T10:01:04.900] [INFO] app - 84be73c8-87fb-41aa-ad4a-0de72c5bb830 - INFO - inbound request - list usergroups - Success retrieving  data - 4
[2022-03-06T10:01:04.907] [INFO] app - 853d0468-50a3-4738-8aa9-03e3196034f7 - INFO - inbound request - list users - Success retrieving  data - 4
[2022-03-06T10:03:36.002] [INFO] app - aaaca9e8-c425-49e6-a066-960edea7c2de - INFO - inbound request - list usergroups - Success retrieving  data - 4
[2022-03-06T10:03:36.010] [INFO] app - 9f6f1a31-51d5-46cf-9819-d9bb29a3af0e - INFO - inbound request - list users - Success retrieving  data - 4
[2022-03-06T10:03:59.671] [INFO] app - 9d86b166-81bb-4d4e-8b23-6733cf36a12a - INFO - inbound request - list usergroups - Success retrieving  data - 4
[2022-03-06T10:03:59.683] [INFO] app - 21c6ed08-cbe7-442d-9a75-ca693e150708 - INFO - inbound request - list users - Success retrieving  data - 4
[2022-03-06T10:04:06.625] [INFO] app - 2d8d14c6-2ff1-4b1e-a82c-0e2872e9d131 - INFO - inbound request - list usergroups - Success retrieving  data - 4
[2022-03-06T10:04:06.635] [INFO] app - 883a2ad3-9d3f-4e48-b72e-5bb5e0e06d23 - INFO - inbound request - list users - Success retrieving  data - 4
[2022-03-06T10:04:13.544] [INFO] app - a5c72510-8a71-4d71-99c5-52ad05438a2b - INFO - inbound request - list users - Success retrieving  data - 4
[2022-03-06T10:04:13.554] [INFO] app - 09638b11-0318-4361-ad8c-99e7a496e2df - INFO - inbound request - list usergroups - Success retrieving  data - 4
[2022-03-06T10:04:45.456] [INFO] app - 876a3cbe-0514-4b39-ac6c-e2b7353ded85 - INFO - inbound request - list usergroups - Success retrieving  data - 4
[2022-03-06T10:04:45.471] [INFO] app - b76a29bc-8933-41b8-af6d-b66230367e67 - INFO - inbound request - list users - Success retrieving  data - 4
[2022-03-06T10:04:50.697] [INFO] app - b4c2d6b0-6cce-440c-9cd8-069279340c34 - INFO - inbound request - list usergroups - Success retrieving  data - 4
[2022-03-06T10:04:50.706] [INFO] app - 94c46cbc-32de-4ed5-8bf2-f8c6b30c98dc - INFO - inbound request - list users - Success retrieving  data - 4
[2022-03-06T10:05:13.785] [INFO] app - 41b978e7-72f8-4fbb-80fd-d1c218076bac - INFO - inbound request - list usergroups - Success retrieving  data - 4
